Timestamp,Frequency,SNR,Peak,Floor
2026-07-21 18:48:31.664,91160000,4.91,-56.31,-61.22
2026-07-21 18:48:32.665,91160000,4.8,-56.62,-61.41
2026-07-21 18:48:33.664,91160000,4.89,-57,-61.88
2026-07-21 18:48:34.675,91160000,5.18,-56.66,-61.84
2026-07-21 18:48:35.675,91160000,4.69,-57.16,-61.85
2026-07-21 18:48:36.678,91160000,4.36,-56.74,-61.11
2026-07-21 18:48:37.663,91160000,4.37,-55.98,-60.35
2026-07-21 18:48:38.671,91160000,3.93,-56.37,-60.29
2026-07-21 18:48:39.672,91160000,3.63,-56.83,-60.46
2026-07-21 18:48:40.673,91160000,4.44,-55.98,-60.41
2026-07-21 18:48:41.663,91160000,4.53,-56.7,-61.23
2026-07-21 18:48:42.664,91160000,4.25,-57.3,-61.55
2026-07-21 18:48:43.910,91160000,3.92,-56.76,-60.68
2026-07-21 18:48:44.668,91160000,3.67,-56.65,-60.32
2026-07-21 18:48:45.664,91160000,3.31,-56.47,-59.78
2026-07-21 18:48:46.666,91160000,3.38,-57.02,-60.41
2026-07-21 18:48:47.679,91160000,4.11,-57.16,-61.27
2026-07-21 18:48:48.671,91160000,4.51,-56.04,-60.54
2026-07-21 18:48:49.672,91160000,4.7,-56.85,-61.54
2026-07-21 18:48:50.671,91160000,5.43,-57.41,-62.84
2026-07-21 18:48:51.664,91160000,5.15,-56.96,-62.11
2026-07-21 18:48:52.669,91160000,5.25,-57.79,-63.04
2026-07-21 18:48:53.671,91160000,4.78,-56.87,-61.65
2026-07-21 18:48:54.669,91160000,4.3,-57.27,-61.57
2026-07-21 18:48:55.668,91160000,3.99,-56.97,-60.96
2026-07-21 18:48:56.668,91160000,4.54,-56.01,-60.55
2026-07-21 18:48:57.667,91160000,5.35,-55.11,-60.46
2026-07-21 18:48:58.665,91160000,5.51,-56.01,-61.51
2026-07-21 18:48:59.721,91160000,5.97,-54.36,-60.32
2026-07-21 18:49:00.667,91160000,5.53,-55,-60.53
2026-07-21 18:49:01.665,91160000,5,-55.51,-60.51
2026-07-21 18:49:02.665,91160000,5.95,-53.73,-59.68
2026-07-21 18:49:03.819,91160000,5.47,-54.13,-59.6
2026-07-21 18:49:04.663,91160000,5.49,-54.88,-60.37
2026-07-21 18:49:05.841,91160000,4.24,-55.2,-59.43
2026-07-21 18:49:06.672,91160000,3.74,-55.49,-59.24
2026-07-21 18:49:07.664,91160000,4.03,-56.23,-60.26
2026-07-21 18:49:08.729,91160000,3.57,-56.26,-59.83
2026-07-21 18:49:09.666,91160000,4.19,-56.1,-60.28
2026-07-21 18:49:10.670,91160000,4.52,-55.06,-59.58
2026-07-21 18:49:11.664,91160000,4.24,-55.35,-59.59
2026-07-21 18:49:12.677,91160000,3.92,-54.83,-58.76
2026-07-21 18:49:13.666,91160000,4.32,-55.62,-59.93
2026-07-21 18:49:14.903,91160000,4.61,-55.99,-60.6
2026-07-21 18:49:15.670,91160000,4.75,-56.62,-61.36
2026-07-21 18:49:16.747,91160000,4.77,-56.67,-61.43
2026-07-21 18:49:17.675,91160000,4.49,-57.22,-61.71
2026-07-21 18:49:18.675,91160000,5.14,-56.13,-61.26
2026-07-21 18:49:19.711,91160000,4.53,-55.86,-60.39
2026-07-21 18:49:20.677,91160000,4.44,-56.55,-60.99
2026-07-21 18:49:21.675,91160000,4.9,-57.52,-62.42
2026-07-21 18:49:22.672,91160000,4.88,-56.92,-61.8
2026-07-21 18:49:23.672,91160000,5.8,-55.08,-60.88
2026-07-21 18:49:24.668,91160000,5.84,-55.08,-60.92
2026-07-21 18:49:25.663,91160000,7.28,-55.62,-62.9
2026-07-21 18:49:26.672,91160000,6.91,-55.49,-62.4
2026-07-21 18:49:27.673,91160000,6.75,-55.4,-62.15
2026-07-21 18:49:28.671,91160000,6.2,-55.77,-61.97
2026-07-21 18:49:29.675,91160000,6.28,-56.16,-62.44
2026-07-21 18:49:30.674,91160000,6.26,-55.82,-62.08
2026-07-21 18:49:31.673,91160000,5.93,-56.34,-62.27
2026-07-21 18:49:32.670,91160000,6.56,-56.21,-62.77
2026-07-21 18:49:33.666,91160000,6.73,-55.39,-62.12
